name,boss_num,prog_time,guild_name
Artificer Xy'mox,4,5.76598,ZugZug
Lady Inerva Darkvein,5,3.8775,ZugZug
The Council of Blood,6,0.0095,ZugZug
Shriekwing,0,0.16339,Anvil Gaming
Huntsman Altimor,1,0.41917,Anvil Gaming
Hungering Destroyer,2,23.44975,Anvil Gaming
Sun King's Salvation,3,0.82829,Anvil Gaming
Artificer Xy'mox,4,1.20861,Anvil Gaming
Lady Inerva Darkvein,5,1.02743,Anvil Gaming
The Council of Blood,6,49.82232,Anvil Gaming
Sludgefist,7,0.03206,Anvil Gaming
Sire Denathrius,9,0.01173,Anvil Gaming
Shriekwing,0,0.14712,Wushu Warriors
Huntsman Altimor,1,0.18527,Wushu Warriors
Hungering Destroyer,2,0.2775,Wushu Warriors
Sun King's Salvation,3,1.13984,Wushu Warriors
Artificer Xy'mox,4,1.60421,Wushu Warriors
Lady Inerva Darkvein,5,0.04484,Wushu Warriors
The Council of Blood,6,1.86652,Wushu Warriors
Sludgefist,7,0.03925,Wushu Warriors
Shriekwing,0,0.47607,Inquisition
Huntsman Altimor,1,0.61185,Inquisition
Hungering Destroyer,2,3.15534,Inquisition
Sun King's Salvation,3,2.30654,Inquisition
Artificer Xy'mox,4,7.75257,Inquisition
Lady Inerva Darkvein,5,1.583,Inquisition
The Council of Blood,6,0.00881,Inquisition
Shriekwing,0,0.6046,From The Ashes
Huntsman Altimor,1,1.31442,From The Ashes
Hungering Destroyer,2,5.38038,From The Ashes
Sun King's Salvation,3,0.02761,From The Ashes
Artificer Xy'mox,4,6.61248,From The Ashes
Lady Inerva Darkvein,5,9.20255,From The Ashes
The Council of Blood,6,0.04611,From The Ashes
Shriekwing,0,0.31523,Orks
Huntsman Altimor,1,0.68595,Orks
Hungering Destroyer,2,3.82537,Orks
Sun King's Salvation,3,6.54869,Orks
Artificer Xy'mox,4,3.4284,Orks
Lady Inerva Darkvein,5,1.16779,Orks
The Council of Blood,6,10.50091,Orks
Sludgefist,7,16.31773,Orks
Stone Legion Generals,8,23.26889,Orks
Sire Denathrius,9,50.0618,Orks
Shriekwing,0,0.9304,CMT
Huntsman Altimor,1,2.68518,CMT
Hungering Destroyer,2,1.77985,CMT
Sun King's Salvation,3,3.1779,CMT
Artificer Xy'mox,4,2.27565,CMT
Lady Inerva Darkvein,5,3.16951,CMT
